Date,Open,High,Low,Close,Adj Close,Volume
2024-07-09,35.020000,35.220001,33.720001,34.590000,34.590000,97546900
2024-07-10,34.439999,34.970001,34.130001,34.869999,34.869999,52256200
2024-07-11,35.029999,35.150002,33.310001,33.500000,33.500000,55213700
2024-07-12,33.770000,35.480000,33.770000,34.490002,34.490002,62792600
2024-07-15,34.700001,35.230000,34.310001,34.459999,34.459999,39847900
2024-07-16,34.360001,34.450001,33.840000,34.340000,34.340000,28409900
2024-07-17,36.080002,37.160000,34.400002,34.459999,34.459999,112304200
2024-07-18,34.959999,36.299999,34.529999,34.869999,34.869999,84188600
2024-07-19,34.570000,34.580002,32.849998,32.980000,32.980000,69628700
2024-07-22,33.279999,33.410000,32.759998,33.369999,33.369999,48503700
2024-07-23,32.959999,33.230000,32.830002,32.950001,32.950001,29466400
2024-07-24,32.529999,32.799999,31.660000,31.700001,31.700001,62216700
2024-07-25,31.370001,31.990000,30.950001,31.100000,31.100000,49774000
2024-07-26,31.430000,31.559999,31.020000,31.350000,31.350000,38352500
2024-07-29,31.420000,31.469999,30.790001,30.830000,30.830000,32342200
2024-07-30,30.850000,30.910000,30.010000,30.129999,30.129999,48256600
2024-07-31,30.540001,30.870001,30.280001,30.740000,30.740000,56110600
2024-08-01,30.430000,30.709999,28.889999,29.049999,29.049999,107672500
2024-08-02,21.940001,21.980000,20.420000,21.480000,21.480000,300895900
2024-08-05,20.200001,20.389999,19.290001,20.110001,20.110001,147385700
2024-08-06,20.320000,20.629999,19.750000,19.830000,19.830000,106670400
2024-08-07,19.950001,20.250000,18.950001,18.990000,18.990000,95816280
